path	count	total(ms)	mean(ms)	min(ms)	max(ms)	query_count/request_count	query
GET /api/player/player/:player_id	18894	7,472.830	0.395	0.024	46.313	-	-
- sql total time	-	1,725.119	-	-	-	-	-
-	2806	1,370.312	0.488	0.103	29.997	0.148	Connect 
-	2806	354.807	0.126	0.041	7.238	0.148	"QueryContext SELECT player_score.score, competition.title, competition.created_at, competition.id FROM player_score INNER JOIN (
				SELECT competition_id, max(row_num) AS row_num FROM player_score WHERE tenant_id = ? AND player_id = ? GROUP BY competition_id
			) AS c ON (
				player_score.row_num = c.row_num
				AND player_score.competition_id = c.competition_id
				AND player_score.tenant_id = ? AND player_score.player_id = ?
			)
			INNER JOIN competition ON (
				competition.id = player_score.competition_id
			)
			ORDER BY competition.created_at ASC
			"
POST /api/organizer/competition/:competition_id/finish	192	6,963.731	36.269	10.677	99.799	-	-
- sql total time	-	2,332.092	-	-	-	-	-
-	192	1,328.940	6.921	4.018	21.885	1.000	ExecContext UPDATE competition SET finished_at = ?, updated_at = ? WHERE id = ?
-	192	725.070	3.776	1.086	27.295	1.000	ExecContext INSERT INTO billing (tenant_id, competition_id, player, visitor, yen) VALUES (?, ?, ?, ?, ?)
-	192	161.239	0.839	0.402	9.495	1.000	QueryContext SELECT player_id, created_at AS min_created_at FROM visit_history_2 WHERE tenant_id = ? AND competition_id = ?
-	192	86.773	0.451	0.138	6.890	1.000	Connect 
-	192	30.068	0.156	0.022	16.180	1.000	QueryContext SELECT DISTINCT(player_id) FROM player_score WHERE tenant_id = ? AND competition_id = ?
POST /api/organizer/competition/:competition_id/score	204	3,644.831	17.866	1.257	136.079	-	-
- sql total time	-	1,309.031	-	-	-	-	-
-	203	1,081.423	5.327	0.363	91.880	0.995	ExecContext INSERT INTO player_score (id, tenant_id, player_id, competition_id, score, row_num, created_at, updated_at) VALUES (:id, :tenant_id, :player_id, :competition_id, :score, :row_num, :created_at, :updated_at)
-	203	134.935	0.664	0.034	9.661	0.995	ExecContext DELETE FROM player_score WHERE tenant_id = ? AND competition_id = ?
-	203	74.183	0.365	0.119	4.266	0.995	Connect 
-	292	13.662	0.046	0.007	8.779	1.431	QueryContext SELECT * FROM player WHERE id = ?
-	203	4.826	0.023	0.009	0.121	0.995	BeginTx 
POST /initialize2	1	2,552.868	2,552.868	2,552.868	2,552.868	-	-
GET /api/player/competition/:competition_id/ranking	8199	2,486.990	0.303	0.028	78.934	-	-
- sql total time	-	344.070	-	-	-	-	-
-	76	304.901	4.011	0.147	40.116	0.009	Connect 
-	26	19.964	0.767	0.373	4.282	0.003	QueryContext SELECT * FROM tenant WHERE id = ?
-	72	19.204	0.266	0.063	5.277	0.008	"QueryContext SELECT player_score.*, display_name FROM player_score INNER JOIN (
			SELECT player_id, max(row_num) AS row_num FROM player_score WHERE tenant_id = ? AND competition_id = ? GROUP BY player_id
		) AS c ON (
			player_score.player_id = c.player_id
			AND player_score.row_num = c.row_num
			AND player_score.tenant_id = ? AND player_score.competition_id = ?
		)
		INNER JOIN player ON (
			player.id = player_score.player_id
		)
		ORDER BY player_score.score DESC, player_score.row_num ASC
		"
GET /api/player/competitions	1185	1,598.796	1.349	0.137	36.243	-	-
- sql total time	-	1,051.866	-	-	-	-	-
-	1183	1,005.842	0.850	0.106	36.025	0.998	Connect 
-	1183	46.023	0.038	0.011	2.309	0.998	QueryContext SELECT * FROM competition WHERE tenant_id=? ORDER BY created_at DESC
POST /api/organizer/competitions/add	203	1,452.598	7.155	4.757	16.386	-	-
- sql total time	-	1,397.855	-	-	-	-	-
-	203	1,321.291	6.508	4.090	16.020	1.000	ExecContext INSERT INTO competition (id, tenant_id, title, finished_at, created_at, updated_at) VALUES (?, ?, ?, ?, ?, ?)
-	203	76.564	0.377	0.142	3.156	1.000	Connect 
GET /api/organizer/players	205	726.345	3.543	1.276	12.898	-	-
- sql total time	-	90.130	-	-	-	-	-
-	205	75.804	0.369	0.129	3.518	1.000	Connect 
-	205	14.326	0.069	0.012	5.327	1.000	QueryContext SELECT * FROM player WHERE tenant_id=? ORDER BY created_at DESC
POST /api/admin/tenants/add2/:tenant_id	15	361.546	24.103	17.797	52.495	-	-
GET /api/organizer/billing	187	360.260	1.926	0.846	10.597	-	-
- sql total time	-	270.186	-	-	-	-	-
-	187	177.198	0.947	0.400	8.277	1.000	QueryContext SELECT * FROM billing WHERE tenant_id=?
-	187	85.919	0.459	0.129	7.147	1.000	Connect 
-	187	7.069	0.037	0.014	0.255	1.000	QueryContext SELECT * FROM competition WHERE tenant_id=? ORDER BY created_at DESC
POST /api/organizer/players/add	15	125.658	8.377	6.535	9.994	-	-
- sql total time	-	110.102	-	-	-	-	-
-	15	106.203	7.080	5.474	8.763	1.000	ExecContext INSERT INTO player (id, tenant_id, display_name, is_disqualified, created_at, updated_at) VALUES (:id, :tenant_id, :display_name, :is_disqualified, :created_at, :updated_at)
